Week/date,Post type,Audience,Topic,Caption direction,CTA,Required asset,Permission requirement,Claim risk,Landing page,UTM campaign,Status
Week 1,Project transformation,Homeowners,Refinishing transformation with documented scope,Explain refinishing transformation with documented scope using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Written customer/asset/location permission,Medium—technical review,/refinishing/,gbp_project-transformation_2026q3,Draft—do not publish
Week 2,Can this floor be saved,Homeowners,Assessment factors before deciding,Explain assessment factors before deciding using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/repair-restoration/,gbp_can-this-floor-be-saved_2026q3,Draft—do not publish
Week 3,Floor-care education,Homeowners,Care after an approved finish,Explain care after an approved finish using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/refinishing/,gbp_floor-care-education_2026q3,Draft—do not publish
Week 4,Historic-floor insight,Homeowners,What evidence a historic-floor story needs,Explain what evidence a historic-floor story needs using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Written customer/asset/location permission,High—proof/permission,/historic-heart-pine/,gbp_historic-floor-insight_2026q3,Draft—do not publish
Week 5,Contractor-focused update,Contractors/commercial,How flooring scope coordination can work,Explain how flooring scope coordination can work using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/contractor-builder/,gbp_contractor-focused-update_2026q3,Draft—do not publish
Week 6,Commercial project capability,Contractors/commercial,Phasing questions for operating properties,Explain phasing questions for operating properties using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Written customer/asset/location permission,High—proof/permission,/commercial/,gbp_commercial-project-capability_2026q3,Draft—do not publish
Week 7,Service explanation,Homeowners,Screen and coat versus full refinishing,Explain screen and coat versus full refinishing using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/refinishing/,gbp_service-explanation_2026q3,Draft—do not publish
Week 8,Seasonal scheduling,Homeowners,Plan around owner-confirmed availability,Explain plan around owner-confirmed availability using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/service-areas/,gbp_seasonal-scheduling_2026q3,Draft—do not publish
Week 9,Process transparency,Homeowners,What happens during sanding preparation,Explain what happens during sanding preparation using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/dust-controlled-sanding/,gbp_process-transparency_2026q3,Draft—do not publish
Week 10,Review/customer story,Homeowners,Customer experience in their own approved words,Explain customer experience in their own approved words using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Written customer/asset/location permission,High—proof/permission,/reviews-proof/,gbp_review-customer-story_2026q3,Draft—do not publish
Week 11,Neighborhood project story,Homeowners,A permissioned local project and its floor challenge,Explain a permissioned local project and its floor challenge using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Written customer/asset/location permission,High—proof/permission,/service-areas/,gbp_neighborhood-project-story_2026q3,Draft—do not publish
Week 12,Team and equipment,Homeowners,Dust-control equipment without dust-free claims,Explain dust-control equipment without dust-free claims using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/dust-controlled-sanding/,gbp_team-and-equipment_2026q3,Draft—do not publish
Week 13,Frequently asked question,Homeowners,Can boards be matched perfectly? Set expectations,Explain can boards be matched perfectly? set expectations using verified project or expert facts,Learn more,Approved project photo/video or original graphic,Asset release; no private identifiers,Medium—technical review,/repair-restoration/,gbp_frequently-asked-question_2026q3,Draft—do not publish
Week 13,Before-and-after reveal,Homeowners,Same-project reveal with documented scope,"Explain only visible, verified change; comparable angle/light; no guaranteed outcome",View refinishing options,Approved matched before/after pair,Written property/customer/asset permission,High—pair integrity and project facts,/refinishing/,gbp_before-and-after-reveal_2026q3,Draft—do not publish
