Relationship type,Value offered by NOLA Dustless,Requested action,Difficulty,Cost,Referral value,SEO value,Brand value,Proof required,Priority,Outreach status
General contractors,Defined scope coordination guide,Resource citation or referral introduction,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Builders,Flooring planning checklist,Resource/profile inclusion,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Architects,Material/restoration technical input,Expert resource/case collaboration,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Interior designers,Finish-selection education,Resource/case collaboration,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Realtors,Floor evaluation resource,Educational resource sharing,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Property managers,Maintenance/phasing guide,Vendor/resource consideration,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Historic preservation groups,Permissioned preservation case study,Editorial resource/case participation,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Neighborhood organizations,Floor-care workshop/resource,Resource sharing,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Local suppliers,Accurate project/material content,Verified pro listing/case feature,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Manufacturers,Verified installer/profile content,Eligible installer/profile listing,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Hotels,Downtime/phasing planning,Vendor consideration/case study,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Restaurants,Floor maintenance/project story,Case study/resource if relationship exists,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Churches,Stewardship/restoration planning,Planning resource/case story,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Commercial partners,Documented case study,Vendor profile/case attribution,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,2,Research only—no outreach
Local media,Expert availability with evidence,Consider verified story/expert,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,3,Research only—no outreach
Home/design publications,Visual local craftsmanship story,Consider permissioned feature,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,3,Research only—no outreach
Community projects,Skilled service/resource if approved,Project partner attribution,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,3,Research only—no outreach
Trade associations,Member education/case study,Member profile/presentation,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,3,Research only—no outreach
Charity/sponsorship opportunities,Transparent community contribution,Sponsor acknowledgment only if genuine,Medium/High,Unknown—validate; no spend,Potential—unverified,Potential—unverified,Potential—unverified,Relationship/project/credentials/permission as applicable,3,Research only—no outreach
