Offer ID,Offer name,Audience,Service,Customer problem,Deliverable,Qualification criteria,CTA,Funnel stage,Best channel,Operational burden,Revenue potential,Lead-quality impact,Margin risk,Proof required,Launch status,Notes
O-01,Professional floor assessment,Residential owners,Multiple,Unclear condition and next step,Condition review and scope path,Location/service fit; decision-maker; adequate scope,Request an assessment,Consideration,Search/Maps/referral,Medium,High,Positive—high,Medium,SOP; qualifications; fee/output,Hold—owner/operations approval,Not a final guarantee or quote
O-02,Restore-versus-replace consultation,Residential/historic,Restoration/refinishing,Unnecessary replacement or uncertainty,Feasibility factors and options,True hardwood; access; realistic goals,Ask if restoration may be feasible,Consideration,Search/content,Medium,High,Positive—high,Medium,Decision framework; cases,Hold—proof required,Replacement may be correct
O-03,Historic-floor feasibility assessment,Historic owners,Historic restoration,Character/material uncertainty,Condition and investigation plan,Qualified property; access; history/documents,Request a feasibility review,Consideration,Organic/referral,High,Strategic,Positive—high,High,Historic competence and cases,Hold—proof required,No species guess or save guarantee
O-04,Floor condition and scope review,Owners/managers,Multiple,Ambiguous project scope,Areas/dependencies/repair flags,Photos/plans/location/timing,Request a scope review,Consideration,Search/referral,Medium,High,Positive—high,Low,Checklist; field SOP,Hold—operations design,Output boundaries required
O-05,Color and finish consultation,Residential/design,Refinishing/installation,Color and sheen anxiety,Sample and use/care plan,Qualified project; site sample possible,Plan a sample review,Decision,Estimate/referral,Medium,High,Positive—high,Medium,Products; sample SOP,Hold—proof required,No exact color guarantee
O-06,Contractor plan review,GC/builder,B2B hardwood,Incomplete or risky bid scope,RFIs/prerequisites/exclusions review,Complete package; authority; territory/schedule fit,Submit plans and scope,Consideration,B2B intake,Medium,Strategic,Positive—high,Low,Workflow; documents; capacity,Hold—owner approval,No response SLA yet
O-07,Commercial site walkthrough,Commercial decision-makers,Commercial hardwood,Operational/site constraints,Qualified site and bid-input review,Decision path; budget/timing/scope fit,Request a qualified walkthrough,Decision,Referral/search,High,Strategic,Positive—high,High,Cases; documents; SOP,Hold—proof required,Gate travel burden
O-08,Project phasing consultation,Hospitality/property/institution,Commercial hardwood,Downtime and access,Phase/dependency/reopening assumptions,Qualified scope; operations representative,Review phasing constraints,Decision,Sales/bid,High,Strategic,Positive—high,High,Capability; product rules,Hold—proof required,No night/deadline promise
O-09,Whole-home flooring plan,Homeowner/builder,Restoration/installation,Fragmented room decisions,Room/transition and sequencing plan,Whole-home qualified scope,Plan the whole-home scope,Consideration,Search/design/referral,High,High,Positive—high,Medium,Template; economics; cases,Hold—operations design,Define paid/credited model
O-10,Repair and restoration assessment,Owners/managers,Repair/restoration,Localized damage and match uncertainty,Repair candidacy and limitations,Minimum fit; damage source addressed,Send damage details,Consideration,Search/referral,Medium,Medium,Positive with minimum,High,Cases; minimums; sourcing limits,Hold—owner approval,Tiny jobs may disqualify
O-11,Maintenance plan after refinishing,Completed customers,Maintenance,Protect completed finish,System-specific cure/use/care guide,Verified installed system,Review your care plan,Retention,Closeout,Low,Medium,Positive—retention,Low,Product data; template,Prepare—verify before launch,No lifespan promise
O-12,Priority contractor scheduling,Proven trade accounts,B2B hardwood,Forecast and schedule uncertainty,Forecast/intake protocol; no guaranteed slot,Good standing; forecast; fit; terms,Discuss trade scheduling,Retention,Account management,High,Strategic,Positive—high,High,Capacity rules; SLA; terms,Hold—capacity decision,Avoid fake scarcity or priority
O-13,Photo-based initial project review,All suitable leads,Multiple,Need quick fit triage,Initial routing from project inputs,Complete photos/location/goals/timing,Send photos and project details,Awareness/consideration,Website/Maps/referral,Low,High,Positive—high,Low,Template; privacy; owner,Prepare—closest; approval needed,Not diagnosis or quote
O-14,Commercial bid intake process,Commercial/GC,Commercial hardwood,Procurement friction,Required fields/document/review path,Complete scope; authority; territory/capacity fit,Submit bid requirements,Consideration,Search/referral/procurement,Medium,Strategic,Positive—high,Low,Documents; workflow; capacity,Hold—owner approval,Define bid/no-bid rules
